OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-1	0	20210519_1108-1552_BOTTOM_0001_0001.mp4	49	20210519_1108-1552_TOP_0001_0001.mp4	4240	0.01362		-1.00000	-546.52122	-289.77060	-2632.63595	3.16251	2.10294	14.28793	7.80935	2704.33439	13.40145								Sync		
20210519-2	0	20210519_1108-1552_BOTTOM2_0001_0001.mp4	5700	20210519_1108-1552_TOP2_0001_0001.mp4	24410	1.58492		-1.00000	17.58790	82.34535	-943.13035	0.46851	0.49046	1.80512	7.39271	946.88170	5.43564								Sync		
20210519-2	1	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-511.50365	867.70257	-1563.39681	1.64131	2.73325	4.69284	3.83621	1859.77238	33.31663	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				Unknown	
20210519-2	2	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-602.61109	-736.45444	-2063.84616	2.69313	3.34930	8.81561	10.73046	2272.65621	25.04255	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				20-40	
20210519-2	3	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-706.20978	-694.45916	-2332.64190	3.52445	3.61632	11.31196	15.63790	2534.21072	23.26919	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				10-20	
20210519-2	4	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-736.12375	-192.34281	-2016.71869	3.19807	1.32768	8.59109	13.61369	2155.46473	20.76695	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				10-20	
20210519-2	5	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-549.29762	-526.55229	-1845.51853	2.19767	2.13870	6.98413	2.29411	1996.22740	22.20699	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				20-40	
20210519-2	6	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-678.12450	4.50969	-2029.06752	2.91736	0.99764	8.46517	2.86416	2139.38968	18.48438	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				10-20	
20210519-2	7	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-591.78278	-217.82147	-2752.83498	3.50239	1.75868	15.41424	1.23533	2824.13765	12.80506	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				20-40	
20210519-2	8	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6919	20210519_1108-1552_TOP2_0004_0001.mp4	25629	58.92386	34	2.99994	-617.53962	255.25776	-2325.65735	3.07264	1.69796	11.04207	5.39331	2419.75078	16.14337	Cnidaria > Corals	Black & Octocorals	Branching (3D)	11168902	1				10-20	
