OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210519-1	0	0	1124.19727	1773.13433	1075.84470	1857.76119
20210519-2	0	0	2735.94963	1245.22388	2776.24344	1817.46269
20210519-2	1	0	61.11228	823.86567	166.54774	1052.23881
20210519-2	2	0	1479.41868	1880.32836	1399.99685	2049.85075
20210519-2	3	0	1387.41448	1910.55224	1320.08080	2035.07463
20210519-2	4	0	1086.52151	1960.46269	1025.75761	2101.56716
20210519-2	5	0	3303.51731	829.34328	3252.01154	1020.16418
20210519-2	6	0	2879.34523	901.97015	2845.30115	1029.13433
20210519-2	7	0	3000.20357	771.65672	2972.43337	829.64179
20210519-2	8	0	2719.30640	823.28358	2701.03253	906.00000
20210519-2	9	0	2948.46380	1966.56716	3003.55719	2093.50746
20210519-2	10	0	2812.13641	1971.26866	2879.31794	2095.52239
20210519-2	11	0	957.75236	764.11940	999.57083	894.82090
20210519-2	12	0	2238.43757	1926.70149	2336.60231	2077.38806
20210519-2	13	0	2284.21826	888.28358	2280.88982	910.44776
20210519-2	13	1	2301.67891	785.52239	2299.69360	819.10448
20210519-2	14	0	330.71878	1811.68657	308.91920	1922.34328
20210519-2	15	0	141.33788	1953.40299	125.58237	2095.52239
20210519-2	16	0	2634.66002	1792.29851	2701.75761	1853.52239
20210519-2	17	0	2543.32739	1873.56716	2622.51312	2008.67164
20210519-2	18	0	3002.00839	1856.77612	3060.55089	2036.58209
20210519-2	19	0	2803.80483	844.59701	2780.83001	897.11940
20210519-2	20	0	2802.46170	801.61194	2784.18783	817.86567
20210519-2	21	0	2848.12802	827.80597	2823.13851	885.70149
20210519-2	22	0	3547.19832	790.22388	3493.86044	963.13433
20210519-2	23	0	3317.52361	822.46269	3274.93075	910.07463
20210519-2	24	0	3346.40084	762.01493	3318.78699	801.67164
20210519-2	25	0	768.87093	1792.38806	747.11542	1810.64179
20210519-2	26	0	902.51207	1736.64179	878.74187	1747.50746
20210519-2	27	0	2675.62959	704.00000	2664.11962	655.91045
20210519-2	28	0	2584.96852	731.53731	2578.15950	689.49254
20210519-2	29	0	2437.22455	790.64179	2429.07240	770.76119
20210519-2	30	0	2392.90136	630.79104	2387.43547	549.79104
20210519-2	31	0	2464.75866	662.35821	2463.32214	596.13433
20210519-2	32	0	2145.20462	894.32836	2149.93494	949.40299
20210519-2	33	0	1048.44911	677.65672	1100.88982	636.20896
20210519-2	34	0	1278.91396	769.11940	1327.49738	763.50746
20210519-2	35	0	1798.67891	934.08955	1840.66212	1071.14925
20210519-2	36	0	1386.59601	1713.05970	1350.15425	1682.47761
20210519-2	37	0	525.41448	1707.23881	506.25708	1652.82090
20210519-2	38	0	517.46800	863.61194	594.69885	990.53731
20210519-2	38	1	545.67366	680.25373	606.11542	807.85075
20210519-2	39	0	2064.59077	848.49254	2067.30220	858.05970
20210519-2	39	1	2074.66422	755.13433	2077.37566	767.38806
20210519-2	40	0	2355.05666	943.82090	2348.07660	1047.91045
20210519-2	40	1	2422.21301	824.94030	2413.88982	939.77612
20210519-2	41	0	593.82162	564.64179	651.60546	503.89552
20210519-2	42	0	902.36621	868.97015	954.51207	1070.38806
20210519-2	43	0	1587.21826	631.02985	1641.49738	631.20896
20210519-2	44	0	1784.65792	734.46269	1830.20672	811.88060
20210519-2	45	0	2623.42392	1793.13433	2689.26758	1832.83582
20210519-2	46	0	2683.19307	1906.64179	2753.61910	1941.91045
20210519-2	47	0	2809.03673	649.89552	2795.39874	584.49254
20210519-2	48	0	2484.93284	745.68657	2477.22350	737.14925
20210519-2	49	0	2861.65477	802.37313	2834.75761	906.70149
20210519-2	50	0	2311.11542	658.68657	2302.87933	559.02985
20210519-2	51	0	869.86988	1926.64179	830.86044	2031.04478
20210519-2	52	0	1486.10598	1950.32836	1388.17524	2146.56716
20210519-2	53	0	152.44491	1975.31343	147.07240	2096.19403
20210519-2	54	0	3072.61490	873.59701	3032.58132	1010.07463
20210519-2	55	0	3007.79119	789.85075	2979.29171	825.47761
20210519-2	56	0	607.39979	959.76119	674.00315	1062.01493
20210519-2	56	1	675.22770	804.61194	735.78699	914.25373
20210519-2	57	0	2685.03253	879.04478	2660.84995	1062.49254
20210519-2	58	0	2043.85519	1803.95522	2152.59601	1933.35821
20210519-2	59	0	687.46380	1873.26866	654.76390	1877.23881
20210519-2	60	0	728.83736	695.59701	785.92445	709.50746
20210519-2	60	1	724.13641	609.62687	779.88038	611.44776
20210519-2	61	0	957.84050	713.73134	1009.64428	746.83582
20210519-2	61	1	947.76705	644.55224	996.88458	666.23881
20210519-2	62	0	720.77859	829.92537	777.62959	952.74627
20210519-2	62	1	800.69465	678.80597	853.84155	808.97015
20210519-2	63	0	2000.11542	900.46269	2007.76705	1048.97015
20210519-2	63	1	2065.20357	576.82090	2072.29591	741.61194
