"campaignid","sample","mean.relief","biotic.reef","macroalgae","stony.corals","bare.reef","bare.sand","id","sd.relief","fieldofview.facing.down","fieldofview.facing.up","fieldofview.limited","fieldofview.open","biota.ascidians","biota.bryozoa","biota.consolidated","biota.crinoids","biota.hydrocoral","biota.hydroids","biota.invertebrate.complex","biota.macroalgae","biota.mangrove","biota.octocoral.black","biota.seagrasses","biota.sponges","biota.stony.corals","biota.true.anemones","biota.unconsolidated","biota.zoanthids","visibility.0.2m","visibility.2.4m","visibility.4.6m","visibility.6.8m","visibility.8.10m","visibility.10.m","aims.softcoral","aims.filter","aims.encrusting"
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","224",0,0.4,0.2,0,0,0.6,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.224",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,0,0,0.2
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","226",3,0.6,0,0.3,0,0.4,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.226",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0,NA,NA,NA,NA,NA,NA,0.1,0,0.2
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","228",2,0.7,0.1,0,0,0.3,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.228",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,NA,NA,NA,NA,NA,NA,0.1,0,0.5
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","230",2,0.9,0.1,0.1,0,0.1,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.230",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,NA,NA,NA,NA,NA,NA,0.2,0.1,0.4
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","232",0,0.5,0.3,0,0,0.5,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.232",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.5,0,NA,NA,NA,NA,NA,NA,0,0,0.2
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","234",0,0.6,0.3,0,0,0.4,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.234",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.4,0,NA,NA,NA,NA,NA,NA,0,0,0.3
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","236",2,0.4,0.1,0,0,0.6,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.236",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","238",2,0.4,0.1,0,0,0.6,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.238",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","240",2,0.4,0.1,0,0,0.6,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.240",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","250",5,0.6,0,0.4,0,0.4,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.250",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,NA,NA,NA,NA,NA,NA,0.1,0,0.1
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","259",3,0.8,0.1,0.3,0,0.2,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.259",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0,0.2,0,NA,NA,NA,NA,NA,NA,0.3,0,0.1
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","261",3,0.6,0,0.3,0,0.4,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.261",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0,NA,NA,NA,NA,NA,NA,0.1,0,0.2
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","263",3,0.8,0.1,0.4,0,0.2,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.263",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0.2,0,NA,NA,NA,NA,NA,NA,0.2,0,0.1
