"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",144.46541,1,1849.77934,0.0524610861799078,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",176.07732,1,1755.00883,0.0940286412975225,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",180.07156,1,1551.78754,0.100458572215649,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",117.94691,1,1213.18193,0.0288476509859508,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",137.5431,1,1817.01075,0.0453892329405276,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",159.93059,1,1875.64801,0.0708078039747923,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",146.44481,1,1782.03412,0.0546091367275355,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",176.78625,1,1815.74183,0.0951494088680911,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",140.04416,1,1708.99952,0.0478664392971184,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",140.62078,1,1713.79052,0.0484499513223658,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",162.24288,1,1761.94825,0.0738694010215321,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",178.06729,1,1691.35258,0.0971969649689616,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",164.13215,1,1720.76721,0.0764348526059682,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",179.05032,1,1720.06892,0.0987877889478315,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",161.42295,1,1557.89037,0.0727739626099588,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",157.51338,1,1646.33285,0.0676982069760357,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",182.34176,1,1786.79928,0.10423936165822,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",158.79235,1,1723.20835,0.0693320271740766,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",199.79082,1,1825.51895,0.136480252583717,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",182.934,1,1677.13288,0.105240905234975,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",134.76933,1,1598.78938,0.0427427226063272,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",157.39548,1,1704.93794,0.0675488898928998,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",167.68597,1,1738.1989,0.0814188180475606,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",177.73452,1,1653.52383,0.0966623090268744,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",153.95782,1,1777.4165,0.0632903145446039,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",182.05064,1,1775.48249,0.103749363338904,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",148.89236,1,1682.85317,0.0573445834758363,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",194.5824,1,1521.16302,0.126252701784514,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",187.15133,1,1650.84975,0.112557317716633,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",187.17042,1,1670.57092,0.112591177384063,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",146.25983,1,1358.19563,0.054405978592009,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",145.26021,1,1348.03444,0.0533167636259364,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",178.71969,1,1439.0839,0.0982508294817162,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",148.86991,1,1558.77615,0.0573190902201918,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",163.62081,1,1883.53468,0.0757347830202374,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",260.7336,1,2568.98944,0.167477096285861,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",227.73261,1,1939.20686,0.108364395875842,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",238.187,1,1496.07731,0.125197325429187,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",245.70835,1,1684.71931,0.138366367063254,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",261.29173,1,1893.89899,0.168633142101163,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",224.22689,1,1673.39361,0.103088917567932,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",263.569,1,1527.44282,0.173407040343504,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",246.40972,1,1607.66304,0.139640992196976,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",268.76587,1,1794.45847,0.184648679798491,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",229.04438,1,1830.23424,0.11038527709417,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",239.84375,1,1877.21225,0.128020450636827,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",250.46017,1,1409.38796,0.147160743965829,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",258.991,1,1848.50052,0.163902833466411,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",268.92091,1,1231.88843,0.184991561725715,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",207.39206,1,2091.63366,0.0801991817851187,NA
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",256.48255,1,1879.29294,0.158850536601435,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",74.12552,1,1884.74013,0.00733283306952693,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",77.35889,1,1832.03504,0.00831669533695393,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",80.03954,1,936.53821,0.0091955378020031,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",79.38413,1,975.65419,0.00897526126771873,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",83.30298,1,928.52687,0.0103456373146697,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",78.88091,1,983.14301,0.00880852174041109,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",79.35303,1,1012.73365,0.00896489647134727,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",78.38877,1,924.21405,0.00864744624855276,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",76.79656,1,949.06669,0.00813968257642194,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",75.96792,1,898.73087,0.00788340551999613,NA
"2014-12_Geographe.Bay_stereoBRUVs","10005","Gerreidae","Parequula","melbournensis",75.55045,1,1450.85101,0.00767677652406356,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Gerreidae","Parequula","melbournensis",142.34452,1,2543.49847,0.0519986492843677,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Gerreidae","Parequula","melbournensis",115.93117,1,2029.01866,0.0279761309207206,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Heterodontidae","Heterodontus","portusjacksoni",490.5945,1,1902.98509,1.01550150895418,"37007001"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Labridae","Coris","auricularis",248.92665,1,3451.6826,0.187058939221893,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Labridae","Coris","auricularis",322.39446,1,4185.18171,0.412729931281763,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Labridae","Eupetrichthys","angustipes",73.71436,1,2557.12826,0.00433868761189751,"37384105"
