"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2022-05_PtCloates_stereo-BRUVS","1","Balistidae","Abalistes","filamentosus",336.77888,1,3775.30808,0.776986528634007,"37465089"
"2022-05_PtCloates_stereo-BRUVS","1","Balistidae","Abalistes","filamentosus",324.90775,1,3918.72008,0.699188445656643,"37465089"
"2022-05_PtCloates_stereo-BRUVS","1","Balistidae","Abalistes","filamentosus",281.17035,1,2559.81966,0.457077694659788,"37465089"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",350.99534,1,2616.54139,0.717877970897538,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",324.59851,1,2894.18358,0.576366428826365,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",261.57549,1,3112.9045,0.314362984190254,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",347.60589,1,2325.4831,0.698580153359482,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",295.69017,1,3270.08393,0.443546871018226,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",351.62939,1,3422.69992,0.721525593284196,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",282.48108,1,3335.80964,0.390124934390479,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",297.90584,1,3368.82388,0.452943539378431,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",475.65479,1,4932.96608,1.68541329769896,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",356.53208,1,3368.7736,0.750133737579827,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",334.88778,1,3535.60763,0.629154908995329,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",712.5285,1,4366.08316,5.24293682360952,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",328.80165,1,3261.94026,0.597570844010997,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",209.59568,1,3404.39171,0.168749006602647,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",332.75424,1,4794.12507,0.617963553512057,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",348.73368,1,3242.52149,0.704963648842488,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",309.3164,1,4989.21086,0.503367219218755,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","fulvoguttatus",328.26841,1,2911.2533,0.594853346234344,"37337037"
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Decapterus","spp",310.83692,1,3356.76229,0.502484350270818,NA
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Decapterus","spp",336.70146,1,3562.62956,0.636039710226608,NA
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Decapterus","spp",303.81976,1,3514.67114,0.469764317071944,NA
"2022-05_PtCloates_stereo-BRUVS","1","Carangidae","Decapterus","spp",366.66157,1,2439.05404,0.817808921851214,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Gymnocranius","sp1",390.44193,1,2611.60813,1.14572746315665,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Gymnocranius","sp1",345.94245,1,2244.82607,0.801607147906394,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Lethrinus","rubrioperculatus",377.34547,1,1541.61603,0.985253350972444,"37351012"
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",441.82466,1,2784.243,1.54579753717843,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",409.91824,1,3033.68227,1.23745805526602,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",507.39771,1,1539.29386,2.33096421286971,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",424.64357,1,1407.04012,1.37411986092315,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",530.72123,1,2423.19345,2.66359575160615,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",471.36595,1,2772.46354,1.87319427479625,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",467.8266,1,1447.76387,1.83175383116078,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",379.8319,1,3552.5471,0.98688527447406,NA
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1",530.49423,1,1628.2675,2.66021561426448,NA
"2022-05_PtCloates_stereo-BRUVS","1","Sparidae","Argyrops","spinifer",301.05111,1,4014.82973,1.20540595654721,"37353006"
"2022-05_PtCloates_stereo-BRUVS","1","Sparidae","Argyrops","spinifer",305.35786,1,1182.63246,1.24825290607602,"37353006"
"2022-05_PtCloates_stereo-BRUVS","1","Sparidae","Argyrops","spinifer",301.30584,1,1655.19508,1.20791552905175,"37353006"
"2022-05_PtCloates_stereo-BRUVS","11","Carangidae","Carangoides","gymnostethus",547.62818,1,4205.40591,2.75637989596658,"37337022"
