campaignid,sample,family,genus,species,caab,count
2020-06_south-west_stereo-BRUVs,1,Carangidae,Pseudocaranx,spp,,1
2020-06_south-west_stereo-BRUVs,1,Labridae,Austrolabrus,maculatus,37384025,2
2020-06_south-west_stereo-BRUVs,1,Labridae,Coris,auricularis,37384088,5
2020-06_south-west_stereo-BRUVs,1,Labridae,Ophthalmolepis,lineolatus,37384040,2
2020-06_south-west_stereo-BRUVs,1,Labridae,Pseudolabrus,biserialis,37384149,17
2020-06_south-west_stereo-BRUVs,1,Pomacentridae,Chromis,klunzingeri,37372044,35
2020-06_south-west_stereo-BRUVs,1,Scorpididae,Tilodon,sexfasciatus,37361003,1
2020-06_south-west_stereo-BRUVs,1,Serranidae,Caesioperca,sp1,,14
2020-06_south-west_stereo-BRUVs,1,Serranidae,Hypoplectrodes,nigroruber,37311037,1
2020-06_south-west_stereo-BRUVs,1,Sparidae,Chrysophrys,auratus,37353001,1
2020-06_south-west_stereo-BRUVs,1,Triakidae,Furgaleus,macki,37017003,1
2020-06_south-west_stereo-BRUVs,2,Carangidae,Seriola,hippos,37337007,1
2020-06_south-west_stereo-BRUVs,2,Gerreidae,Parequula,melbournensis,37349001,1
2020-06_south-west_stereo-BRUVs,2,Labridae,Ophthalmolepis,lineolatus,37384040,2
2020-06_south-west_stereo-BRUVs,2,Labridae,Pseudolabrus,biserialis,37384149,10
2020-06_south-west_stereo-BRUVs,2,Mocanthidae,Meuschenia,galii,37465040,1
2020-06_south-west_stereo-BRUVs,2,Pomacentridae,Chromis,klunzingeri,37372044,52
2020-06_south-west_stereo-BRUVs,2,Scombridae,Unknown,spp,,4
2020-06_south-west_stereo-BRUVs,2,Scorpididae,Neatypus,obliquus,37361002,6
2020-06_south-west_stereo-BRUVs,2,Serranidae,Caesioperca,sp1,,26
2020-06_south-west_stereo-BRUVs,2,Triakidae,Furgaleus,macki,37017003,1
2020-06_south-west_stereo-BRUVs,3,Gerreidae,Parequula,melbournensis,37349001,2
2020-06_south-west_stereo-BRUVs,3,Glaucosomatidae,Glaucosoma,hebraicum,37320004,3
2020-06_south-west_stereo-BRUVs,3,Labridae,Coris,auricularis,37384088,3
2020-06_south-west_stereo-BRUVs,3,Labridae,Ophthalmolepis,lineolatus,37384040,6
2020-06_south-west_stereo-BRUVs,3,Labridae,Pseudolabrus,biserialis,37384149,8
2020-06_south-west_stereo-BRUVs,3,Pomacentridae,Chromis,klunzingeri,37372044,12
2020-06_south-west_stereo-BRUVs,3,Scorpididae,Neatypus,obliquus,37361002,9
2020-06_south-west_stereo-BRUVs,3,Sparidae,Chrysophrys,auratus,37353001,2
2020-06_south-west_stereo-BRUVs,3,Triakidae,Furgaleus,macki,37017003,1
2020-06_south-west_stereo-BRUVs,4,Aulopidae,Latropiscis,purpurissatus,37117001,1
2020-06_south-west_stereo-BRUVs,4,Carangidae,Pseudocaranx,spp,,3
2020-06_south-west_stereo-BRUVs,4,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,4
2020-06_south-west_stereo-BRUVs,4,Labridae,Coris,auricularis,37384088,1
2020-06_south-west_stereo-BRUVs,4,Labridae,Ophthalmolepis,lineolatus,37384040,3
2020-06_south-west_stereo-BRUVs,4,Labridae,Pseudolabrus,biserialis,37384149,1
2020-06_south-west_stereo-BRUVs,4,Scorpididae,Neatypus,obliquus,37361002,10
2020-06_south-west_stereo-BRUVs,4,Sparidae,Chrysophrys,auratus,37353001,3
2020-06_south-west_stereo-BRUVs,4,Triakidae,Mustelus,antarcticus,37017001,1
2020-06_south-west_stereo-BRUVs,5,Gerreidae,Parequula,melbournensis,37349001,7
2020-06_south-west_stereo-BRUVs,5,Heterodontidae,Heterodontus,portusjacksoni,37007001,1
2020-06_south-west_stereo-BRUVs,5,Labridae,Austrolabrus,maculatus,37384025,2
2020-06_south-west_stereo-BRUVs,5,Labridae,Ophthalmolepis,lineolatus,37384040,6
2020-06_south-west_stereo-BRUVs,5,Labridae,Pseudolabrus,biserialis,37384149,4
2020-06_south-west_stereo-BRUVs,5,Mocanthidae,Meuschenia,freycineti,37465036,1
2020-06_south-west_stereo-BRUVs,5,Mocanthidae,Scobinichthys,granulatus,37465007,1
2020-06_south-west_stereo-BRUVs,5,Mullidae,Upeneichthys,vlamingii,37355029,2
2020-06_south-west_stereo-BRUVs,5,Myliobatidae,Myliobatis,tenuicaudatus,37039001,1
2020-06_south-west_stereo-BRUVs,5,Oplegthidae,Oplegthus,woodwardi,37369002,2
2020-06_south-west_stereo-BRUVs,5,Pempherididae,Pempheris,klunzingeri,37357003,37
2020-06_south-west_stereo-BRUVs,5,Pomacentridae,Chromis,klunzingeri,37372044,1
2020-06_south-west_stereo-BRUVs,5,Scorpididae,Neatypus,obliquus,37361002,26
2020-06_south-west_stereo-BRUVs,5,Tetraodontidae,Omegophora,armilla,37467002,1
2020-06_south-west_stereo-BRUVs,6,Carangidae,Pseudocaranx,spp,,1
2020-06_south-west_stereo-BRUVs,6,Heterodontidae,Heterodontus,portusjacksoni,37007001,2
2020-06_south-west_stereo-BRUVs,6,Labridae,Austrolabrus,maculatus,37384025,2
2020-06_south-west_stereo-BRUVs,6,Labridae,Coris,auricularis,37384088,4
2020-06_south-west_stereo-BRUVs,6,Labridae,Eupetrichthys,angustipes,37384105,1
2020-06_south-west_stereo-BRUVs,6,Labridae,Ophthalmolepis,lineolatus,37384040,4
2020-06_south-west_stereo-BRUVs,6,Labridae,Pseudolabrus,biserialis,37384149,5
2020-06_south-west_stereo-BRUVs,6,Odacidae,Siphonogthus,caninis,37385011,1
2020-06_south-west_stereo-BRUVs,6,Oplegthidae,Oplegthus,woodwardi,37369002,1
2020-06_south-west_stereo-BRUVs,6,Scorpididae,Neatypus,obliquus,37361002,1
2020-06_south-west_stereo-BRUVs,6,Triakidae,Mustelus,antarcticus,37017001,1
2020-06_south-west_stereo-BRUVs,7,Heterodontidae,Heterodontus,portusjacksoni,37007001,2
2020-06_south-west_stereo-BRUVs,7,Labridae,Austrolabrus,maculatus,37384025,3
2020-06_south-west_stereo-BRUVs,7,Labridae,Coris,auricularis,37384088,7
2020-06_south-west_stereo-BRUVs,7,Labridae,Eupetrichthys,angustipes,37384105,1
2020-06_south-west_stereo-BRUVs,7,Labridae,Ophthalmolepis,lineolatus,37384040,3
2020-06_south-west_stereo-BRUVs,7,Labridae,Pseudolabrus,biserialis,37384149,2
2020-06_south-west_stereo-BRUVs,7,Myliobatidae,Myliobatis,tenuicaudatus,37039001,1
2020-06_south-west_stereo-BRUVs,7,Urolophidae,Trygonoptera,ovalis,37038016,1
2020-06_south-west_stereo-BRUVs,8,Aplodactylidae,Aplodactylus,westralis,37376004,1
2020-06_south-west_stereo-BRUVs,8,Callanthiidae,Callanthias,allporti,37311004,3
2020-06_south-west_stereo-BRUVs,8,Carangidae,Seriola,hippos,37337007,2
2020-06_south-west_stereo-BRUVs,8,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,1
2020-06_south-west_stereo-BRUVs,8,Glaucosomatidae,Glaucosoma,hebraicum,37320004,2
2020-06_south-west_stereo-BRUVs,8,Heterodontidae,Heterodontus,portusjacksoni,37007001,1
2020-06_south-west_stereo-BRUVs,8,Labridae,Bodianus,frenchii,37384057,2
2020-06_south-west_stereo-BRUVs,8,Labridae,Choerodon,rubescens,37384039,1
2020-06_south-west_stereo-BRUVs,8,Labridae,Coris,auricularis,37384088,35
2020-06_south-west_stereo-BRUVs,8,Labridae,Notolabrus,parilus,37384022,1
2020-06_south-west_stereo-BRUVs,8,Labridae,Ophthalmolepis,lineolatus,37384040,4
2020-06_south-west_stereo-BRUVs,8,Labridae,Pseudolabrus,biserialis,37384149,7
2020-06_south-west_stereo-BRUVs,8,Mocanthidae,Meuschenia,flavolineata,37465035,2
2020-06_south-west_stereo-BRUVs,8,Mocanthidae,Meuschenia,galii,37465040,1
2020-06_south-west_stereo-BRUVs,8,Plesiopidae,Paraplesiops,meleagris,37316009,1
2020-06_south-west_stereo-BRUVs,8,Plesiopidae,Trachinops,noarlungae,37316017,8
2020-06_south-west_stereo-BRUVs,8,Pomacentridae,Chromis,klunzingeri,37372044,45
2020-06_south-west_stereo-BRUVs,8,Pomacentridae,Parma,bicolor,37372092,1
2020-06_south-west_stereo-BRUVs,8,Scorpaenidae,Scorpae,sumptuosa,37287072,2
2020-06_south-west_stereo-BRUVs,8,Scorpididae,Neatypus,obliquus,37361002,2
2020-06_south-west_stereo-BRUVs,8,Scorpididae,Scorpis,aequipinnis,37361004,2
2020-06_south-west_stereo-BRUVs,8,Scorpididae,Scorpis,georgia,37361015,1
2020-06_south-west_stereo-BRUVs,8,Scorpididae,Tilodon,sexfasciatus,37361003,2
2020-06_south-west_stereo-BRUVs,8,Serranidae,Epinephelides,armatus,37311100,1
2020-06_south-west_stereo-BRUVs,8,Serranidae,Hypoplectrodes,nigroruber,37311037,1
2020-06_south-west_stereo-BRUVs,8,Sparidae,Chrysophrys,auratus,37353001,6
2020-06_south-west_stereo-BRUVs,9,Gerreidae,Parequula,melbournensis,37349001,2
2020-06_south-west_stereo-BRUVs,9,Labridae,Austrolabrus,maculatus,37384025,1
2020-06_south-west_stereo-BRUVs,9,Labridae,Coris,auricularis,37384088,1
2020-06_south-west_stereo-BRUVs,9,Labridae,Eupetrichthys,angustipes,37384105,1
2020-06_south-west_stereo-BRUVs,9,Labridae,Ophthalmolepis,lineolatus,37384040,5
2020-06_south-west_stereo-BRUVs,9,Labridae,Pseudolabrus,biserialis,37384149,3
2020-06_south-west_stereo-BRUVs,9,Mullidae,Upeneichthys,vlamingii,37355029,1
2020-06_south-west_stereo-BRUVs,9,Myliobatidae,Myliobatis,tenuicaudatus,37039001,1
2020-06_south-west_stereo-BRUVs,9,Pomacentridae,Chromis,klunzingeri,37372044,4
2020-06_south-west_stereo-BRUVs,9,Scorpididae,Neatypus,obliquus,37361002,15
2020-06_south-west_stereo-BRUVs,9,Serranidae,Caesioperca,sp1,,11
2020-06_south-west_stereo-BRUVs,10,Carangidae,Pseudocaranx,spp,,2
2020-06_south-west_stereo-BRUVs,10,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,1
2020-06_south-west_stereo-BRUVs,10,Labridae,Achoerodus,gouldii,37384002,1
2020-06_south-west_stereo-BRUVs,10,Labridae,Choerodon,rubescens,37384039,1
2020-06_south-west_stereo-BRUVs,10,Labridae,Coris,auricularis,37384088,9
2020-06_south-west_stereo-BRUVs,10,Labridae,Ophthalmolepis,lineolatus,37384040,4
2020-06_south-west_stereo-BRUVs,10,Labridae,Pseudolabrus,biserialis,37384149,10
2020-06_south-west_stereo-BRUVs,10,Mocanthidae,Meuschenia,freycineti,37465036,1
2020-06_south-west_stereo-BRUVs,10,Myliobatidae,Myliobatis,tenuicaudatus,37039001,1
2020-06_south-west_stereo-BRUVs,10,Scorpididae,Neatypus,obliquus,37361002,1
2020-06_south-west_stereo-BRUVs,10,Scorpididae,Tilodon,sexfasciatus,37361003,1
2020-06_south-west_stereo-BRUVs,11,Gerreidae,Parequula,melbournensis,37349001,2
2020-06_south-west_stereo-BRUVs,11,Heterodontidae,Heterodontus,portusjacksoni,37007001,2
2020-06_south-west_stereo-BRUVs,11,Labridae,Achoerodus,gouldii,37384002,1
2020-06_south-west_stereo-BRUVs,11,Labridae,Austrolabrus,maculatus,37384025,1
2020-06_south-west_stereo-BRUVs,11,Labridae,Coris,auricularis,37384088,3
2020-06_south-west_stereo-BRUVs,11,Labridae,Ophthalmolepis,lineolatus,37384040,3
2020-06_south-west_stereo-BRUVs,11,Labridae,Pseudolabrus,biserialis,37384149,6
2020-06_south-west_stereo-BRUVs,11,Myliobatidae,Myliobatis,tenuicaudatus,37039001,1
2020-06_south-west_stereo-BRUVs,11,Pomacentridae,Chromis,klunzingeri,37372044,54
2020-06_south-west_stereo-BRUVs,11,Scorpididae,Neatypus,obliquus,37361002,4
2020-06_south-west_stereo-BRUVs,11,Serranidae,Caesioperca,sp1,,3
2020-06_south-west_stereo-BRUVs,12,Carangidae,Seriola,hippos,37337007,1
2020-06_south-west_stereo-BRUVs,12,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,1
2020-06_south-west_stereo-BRUVs,12,Cheilodactylidae,Nemadactylus,valenciennesi,,2
2020-06_south-west_stereo-BRUVs,12,Kyphosidae,Kyphosus,sydneyanus,37361001,1
2020-06_south-west_stereo-BRUVs,12,Labridae,Bodianus,frenchii,37384057,1
2020-06_south-west_stereo-BRUVs,12,Labridae,Choerodon,rubescens,37384039,1
2020-06_south-west_stereo-BRUVs,12,Labridae,Coris,auricularis,37384088,4
2020-06_south-west_stereo-BRUVs,12,Labridae,Pseudolabrus,biserialis,37384149,3
2020-06_south-west_stereo-BRUVs,12,Labridae,Pseudolabrus,biserialis,,3
2020-06_south-west_stereo-BRUVs,12,Mocanthidae,Meuschenia,flavolineata,37465035,1
2020-06_south-west_stereo-BRUVs,12,Mocanthidae,Meuschenia,galii,37465040,1
2020-06_south-west_stereo-BRUVs,12,Myliobatidae,Myliobatis,tenuicaudatus,37039001,1
2020-06_south-west_stereo-BRUVs,12,Orectolobidae,Orectolobus,spp,,1
2020-06_south-west_stereo-BRUVs,12,Pomacentridae,Parma,bicolor,37372092,1
2020-06_south-west_stereo-BRUVs,12,Scorpaenidae,Scorpae,sumptuosa,37287072,1
2020-06_south-west_stereo-BRUVs,12,Scorpididae,Neatypus,obliquus,37361002,17
2020-06_south-west_stereo-BRUVs,12,Serranidae,Epinephelides,armatus,37311100,3
2020-06_south-west_stereo-BRUVs,12,Sparidae,Chrysophrys,auratus,37353001,5
2020-06_south-west_stereo-BRUVs,12,Triakidae,Furgaleus,macki,37017003,1
2020-06_south-west_stereo-BRUVs,13,Carangidae,Seriola,hippos,37337007,1
2020-06_south-west_stereo-BRUVs,13,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,1
2020-06_south-west_stereo-BRUVs,13,Dasyatidae,Bathytoshia,brevicaudata,37035001,1
2020-06_south-west_stereo-BRUVs,13,Labridae,Austrolabrus,maculatus,37384025,1
2020-06_south-west_stereo-BRUVs,13,Labridae,Coris,auricularis,37384088,4
2020-06_south-west_stereo-BRUVs,13,Labridae,Ophthalmolepis,lineolatus,37384040,1
2020-06_south-west_stereo-BRUVs,13,Labridae,Pseudolabrus,biserialis,37384149,9
2020-06_south-west_stereo-BRUVs,13,Mocanthidae,Meuschenia,flavolineata,37465035,1
2020-06_south-west_stereo-BRUVs,13,Pomacentridae,Parma,bicolor,37372092,1
2020-06_south-west_stereo-BRUVs,13,Serranidae,Caesioperca,rasor,37311003,3
2020-06_south-west_stereo-BRUVs,13,Serranidae,Epinephelides,armatus,37311100,1
2020-06_south-west_stereo-BRUVs,13,Serranidae,Hypoplectrodes,nigroruber,37311037,1
2020-06_south-west_stereo-BRUVs,13,Triakidae,Furgaleus,macki,37017003,1
2020-06_south-west_stereo-BRUVs,13,Urolophidae,Trygonoptera,ovalis,37038016,1
2020-06_south-west_stereo-BRUVs,14,Carcharhinidae,Carcharhinus,limbatus,37018039,2
2020-06_south-west_stereo-BRUVs,14,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,2
2020-06_south-west_stereo-BRUVs,14,Glaucosomatidae,Glaucosoma,hebraicum,37320004,3
2020-06_south-west_stereo-BRUVs,14,Labridae,Coris,auricularis,37384088,6
2020-06_south-west_stereo-BRUVs,14,Labridae,Ophthalmolepis,lineolatus,37384040,8
2020-06_south-west_stereo-BRUVs,14,Labridae,Pseudolabrus,biserialis,37384149,5
2020-06_south-west_stereo-BRUVs,14,Pempherididae,Pempheris,klunzingeri,37357003,5
2020-06_south-west_stereo-BRUVs,14,Plesiopidae,Trachinops,noarlungae,37316017,10
2020-06_south-west_stereo-BRUVs,14,Pomacentridae,Chromis,klunzingeri,37372044,22
2020-06_south-west_stereo-BRUVs,14,Scorpididae,Neatypus,obliquus,37361002,5
2020-06_south-west_stereo-BRUVs,14,Scorpididae,Scorpis,georgia,37361015,1
2020-06_south-west_stereo-BRUVs,14,Scorpididae,Tilodon,sexfasciatus,37361003,1
2020-06_south-west_stereo-BRUVs,14,Serranidae,Caesioperca,rasor,37311003,3
2020-06_south-west_stereo-BRUVs,14,Serranidae,Epinephelides,armatus,37311100,1
2020-06_south-west_stereo-BRUVs,14,Sparidae,Chrysophrys,auratus,37353001,2
2020-06_south-west_stereo-BRUVs,15,Carangidae,Pseudocaranx,spp,,6
2020-06_south-west_stereo-BRUVs,15,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,1
2020-06_south-west_stereo-BRUVs,15,Labridae,Coris,auricularis,37384088,6
2020-06_south-west_stereo-BRUVs,15,Labridae,Ophthalmolepis,lineolatus,37384040,4
2020-06_south-west_stereo-BRUVs,15,Labridae,Pseudolabrus,biserialis,37384149,9
2020-06_south-west_stereo-BRUVs,15,Muraenidae,Gymnothorax,prasinus,37060006,1
2020-06_south-west_stereo-BRUVs,15,Scorpididae,Scorpis,aequipinnis,37361004,1
2020-06_south-west_stereo-BRUVs,15,Serranidae,Caesioperca,rasor,37311003,2
2020-06_south-west_stereo-BRUVs,15,Serranidae,Epinephelides,armatus,37311100,1
2020-06_south-west_stereo-BRUVs,15,Triakidae,Furgaleus,macki,37017003,1
2020-06_south-west_stereo-BRUVs,15,Triakidae,Mustelus,antarcticus,37017001,1
2020-06_south-west_stereo-BRUVs,16,Cheilodactylidae,Nemadactylus,valenciennesi,37377004,2
2020-06_south-west_stereo-BRUVs,16,Haemulidae,Plectorhinchus,flavomaculatus,37350007,1
2020-06_south-west_stereo-BRUVs,16,Labridae,Coris,auricularis,37384088,7
2020-06_south-west_stereo-BRUVs,16,Labridae,Notolabrus,parilus,37384022,1
2020-06_south-west_stereo-BRUVs,16,Labridae,Ophthalmolepis,lineolatus,37384040,7
2020-06_south-west_stereo-BRUVs,16,Labridae,Pseudolabrus,biserialis,37384149,14
2020-06_south-west_stereo-BRUVs,16,Mocanthidae,Meuschenia,flavolineata,37465035,2
2020-06_south-west_stereo-BRUVs,16,Mocanthidae,Meuschenia,galii,37465040,1
