"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2020-10_south-west_stereo-BRUVs","FH10","Carangidae","Pseudocaranx","spp",354.91314,1,2402.75512,0.742925594161669,NA
"2020-10_south-west_stereo-BRUVs","FH10","Carangidae","Pseudocaranx","spp",282.88275,1,2734.0515,0.380572576444071,NA
"2020-10_south-west_stereo-BRUVs","FH10","Labridae","Coris","auricularis",296.58102,1,1326.73681,0.319711799313101,"37384088"
"2020-10_south-west_stereo-BRUVs","FH10","Labridae","Ophthalmolepis","lineolatus",237.00117,1,2887.24821,0.0926881174987651,"37384040"
"2020-10_south-west_stereo-BRUVs","FH10","Myliobatidae","Myliobatis","tenuicaudatus",961.56563,1,7356.41857,5.21620318507877,"37039001"
"2020-10_south-west_stereo-BRUVs","FH10","Scorpididae","Neatypus","obliquus",158.8456,1,1335.62639,0.112857419911275,"37361002"
"2020-10_south-west_stereo-BRUVs","FH10","Scorpididae","Neatypus","obliquus",199.07815,1,1087.00647,0.221663840699121,"37361002"
"2020-10_south-west_stereo-BRUVs","FH10","Scorpididae","Neatypus","obliquus",208.44379,1,2008.15249,0.25432631259611,"37361002"
"2020-10_south-west_stereo-BRUVs","FH102","Carangidae","Pseudocaranx","spp",232.24485,1,2015.20091,0.212734459604136,NA
"2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",146.40316,1,1593.56705,0.0566063760179546,"37349001"
"2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",182.94573,1,3311.68688,0.110947180103572,"37349001"
"2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",126.64044,1,1882.36822,0.0365318504592964,"37349001"
"2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",138.8132,1,1783.01769,0.0481996521291084,"37349001"
"2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",118.13127,1,2090.26194,0.0296104431504343,"37349001"
"2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",126.12356,1,2036.62209,0.0360834103627299,"37349001"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",238.39523,1,5228.03724,0.163881729299211,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",140.3082,1,1955.71094,0.0323648905453032,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",178.96463,1,4624.81159,0.0681502813423008,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",285.54503,1,1273.55102,0.284684808647561,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",92.55775,1,4536.5933,0.00906198071379399,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",266.99894,1,1227.42316,0.231803070190591,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",111.04389,1,4437.58811,0.0158202623693046,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",272.37608,1,1483.34335,0.246386571178877,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",165.1651,1,4102.49014,0.0533126107859129,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",146.12435,1,1477.40689,0.0366480720414548,"37384088"
"2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",143.98653,1,1123.87023,0.0350319981000463,"37384088"
