"sample","number","size.class","scientific","status","zone","site","location","longitude","latitude","depth","successful_count","successful_length","time_stamp"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26183/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2142,-33.3635,40,TRUE,TRUE,"2014-12-10T05:20:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26184/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.101,-33.4405,40.5,TRUE,TRUE,"2014-12-09T22:29:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26185/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3549,-33.4921,24.8,TRUE,TRUE,"2014-12-13T00:41:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26186/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2281,-33.3921,38.4,TRUE,TRUE,"2014-12-10T06:13:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26187/?format=feather",2,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.455,-33.3628,25.7,TRUE,TRUE,"2014-12-11T01:43:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26188/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1204,-33.4071,41.8,TRUE,TRUE,"2014-12-09T23:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26189/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4457,-33.4205,23.2,TRUE,TRUE,"2014-12-13T03:04:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26190/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1361,-33.3643,41.8,TRUE,FALSE,"2014-12-10T02:04:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26191/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3313,-33.5282,22.7,TRUE,FALSE,"2014-12-12T02:48:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26192/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2958,-33.5712,21.7,TRUE,TRUE,"2014-12-12T00:59:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26193/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2616,-33.404,38.7,TRUE,TRUE,"2014-12-10T06:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26194/?format=feather",1,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0925,-33.4502,42.4,TRUE,TRUE,"2014-12-09T05:41:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26195/?format=feather",3,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.413,-33.5297,13.2,TRUE,TRUE,"2014-12-12T21:56:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26196/?format=feather",0,"<Lm","All indicator species","Fished","Habitat Protection Zone","Geographe Bay","Geographe Bay",115.2148,-33.5782,26.2,TRUE,TRUE,"2014-12-11T22:27:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26197/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4986,-33.3889,20,TRUE,TRUE,"2014-12-11T04:21:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26198/?format=feather",2,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2327,-33.3636,38.8,TRUE,TRUE,"2014-12-10T05:27:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26199/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0981,-33.3926,42.4,TRUE,TRUE,"2014-12-09T23:44:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26200/?format=feather",5,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3618,-33.4605,26,TRUE,TRUE,"2014-12-13T02:33:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26201/?format=feather",4,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2221,-33.4339,36,TRUE,TRUE,"2014-12-10T03:09:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26202/?format=feather",2,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1807,-33.5746,22.6,TRUE,TRUE,"2014-12-08T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26203/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.4289,-33.5042,13.6,TRUE,TRUE,"2014-12-16T03:29:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26204/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2862,-33.4712,29.2,TRUE,TRUE,"2014-12-08T22:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0828,-33.3833,42.5,TRUE,TRUE,"2014-12-09T23:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3236,-33.55,20.5,TRUE,TRUE,"2014-12-12T03:02:00Z"
