"sample","level_2","length","number"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",277.32314,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",232.9115,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Cnidaria",219.16943,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26053/?format=feather","Sponges",639.57602,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26053/?format=feather","Cnidaria",127.02992,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26054/?format=feather","Sponges",128.1587,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26055/?format=feather","Cnidaria",1423.13766,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",144.21142,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",193.37875,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",187.38869,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",177.74708,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",180.02465,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",303.59449,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26059/?format=feather","Cnidaria",410.35339,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26059/?format=feather","Sponges",476.73591,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26059/?format=feather","Sponges",278.51698,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26059/?format=feather","Cnidaria",108.87694,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26060/?format=feather","Sponges",257.87857,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26060/?format=feather","Cnidaria",272.36388,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26060/?format=feather","Sponges",306.69629,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Sponges",183.07792,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",302.95951,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",355.01905,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",592.55364,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",201.0015,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26118/?format=feather","Cnidaria",208.87135,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26118/?format=feather","Cnidaria",145.44883,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26118/?format=feather","Cnidaria",183.91825,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26119/?format=feather","Sponges",239.15502,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26061/?format=feather","Sponges",427.30288,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26061/?format=feather","Cnidaria",160.36274,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26061/?format=feather","Sponges",239.25263,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26061/?format=feather","Cnidaria",1103.18199,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26061/?format=feather","Cnidaria",333.84036,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26062/?format=feather","Sponges",134.09701,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26062/?format=feather","Cnidaria",156.53162,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26063/?format=feather","Cnidaria",215.82322,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26064/?format=feather","Cnidaria",317.54681,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26064/?format=feather","Cnidaria",366.72178,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26064/?format=feather","Cnidaria",120.03406,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26123/?format=feather","Sponges",203.05543,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26123/?format=feather","Cnidaria",130.75878,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26123/?format=feather","Cnidaria",253.81191,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26123/?format=feather","Cnidaria",209.74885,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26125/?format=feather","Cnidaria",308.41526,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26126/?format=feather","Bryozoa",118.24441,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26067/?format=feather","Cnidaria",175.86627,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26069/?format=feather","Sponges",141.35481,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26127/?format=feather","Cnidaria",466.25685,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26127/?format=feather","Cnidaria",1067.45868,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26127/?format=feather","Cnidaria",348.18655,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26129/?format=feather","Cnidaria",267.61179,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26129/?format=feather","Sponges",348.43236,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26074/?format=feather","Cnidaria",216.35369,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26077/?format=feather","Cnidaria",618.97921,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26079/?format=feather","Cnidaria",395.97056,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26083/?format=feather","Cnidaria",418.22396,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26083/?format=feather","Cnidaria",608.52785,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26137/?format=feather","Sponges",134.16516,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26139/?format=feather","Cnidaria",263.93557,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26150/?format=feather","Cnidaria",642.61487,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26152/?format=feather","Cnidaria",167.80607,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26157/?format=feather","Cnidaria",765.90993,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26157/?format=feather","Cnidaria",168.87007,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26158/?format=feather","Cnidaria",575.15044,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26089/?format=feather","Cnidaria",339.27893,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26092/?format=feather","Cnidaria",353.83422,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26092/?format=feather","Cnidaria",122.89246,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26094/?format=feather","Cnidaria",102.32958,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26096/?format=feather","Cnidaria",260.73007,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26096/?format=feather","Cnidaria",127.69569,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26096/?format=feather","Cnidaria",973.05846,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26097/?format=feather","Cnidaria",526.70891,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26097/?format=feather","Sponges",214.38837,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26161/?format=feather","Cnidaria",134.06394,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26162/?format=feather","Cnidaria",816.75062,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26165/?format=feather","Cnidaria",820.36535,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26165/?format=feather","Sponges",154.03168,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26165/?format=feather","Cnidaria",279.18658,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26099/?format=feather","Cnidaria",664.88448,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26099/?format=feather","Cnidaria",523.01821,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26167/?format=feather","Sponges",440.65174,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26167/?format=feather","Sponges",189.98202,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26167/?format=feather","Sponges",140.86317,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26167/?format=feather","Cnidaria",372.51046,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26169/?format=feather","Cnidaria",562.29273,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26170/?format=feather","Cnidaria",150.58965,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26102/?format=feather","Cnidaria",432.25056,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26102/?format=feather","Cnidaria",394.55344,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26102/?format=feather","Cnidaria",515.85172,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26102/?format=feather","Cnidaria",339.40488,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26102/?format=feather","Cnidaria",261.07772,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26103/?format=feather","Cnidaria",211.30719,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26107/?format=feather","Cnidaria",182.23089,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26107/?format=feather","Cnidaria",175.47688,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26107/?format=feather","Cnidaria",499.44444,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26108/?format=feather","Sponges",166.42346,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26108/?format=feather","Cnidaria",479.33362,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26175/?format=feather","Cnidaria",367.8141,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26175/?format=feather","Sponges",344.96961,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26175/?format=feather","Sponges",407.1401,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26175/?format=feather","Cnidaria",969.51158,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26175/?format=feather","Cnidaria",732.34143,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26176/?format=feather","Cnidaria",397.04291,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26177/?format=feather","Cnidaria",278.78055,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26177/?format=feather","Cnidaria",218.88599,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26178/?format=feather","Cnidaria",654.25055,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26178/?format=feather","Cnidaria",443.55286,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26178/?format=feather","Cnidaria",113.413,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26180/?format=feather","Cnidaria",299.27033,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26180/?format=feather","Cnidaria",402.08814,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26180/?format=feather","Sponges",136.65032,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26180/?format=feather","Cnidaria",339.46894,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26180/?format=feather","Cnidaria",331.20842,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26181/?format=feather","Cnidaria",267.79711,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26182/?format=feather","Sponges",262.81465,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26182/?format=feather","Sponges",251.3749,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26182/?format=feather","Sponges",448.37965,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26182/?format=feather","Cnidaria",454.21818,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26182/?format=feather","Cnidaria",245.94752,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26182/?format=feather","Cnidaria",484.83082,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26052/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26053/?format=feather","Sponges",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26053/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26054/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26056/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26057/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",60,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26058/?format=feather","Cnidaria",20,1
