"sample","year","scientific","rls_thermal_niche"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25466/?format=feather","2019","Gnathanodon speciosus",26.61633
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25466/?format=feather","2019","Coris caudimacula",24.48806
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather","2019","Seriola rivoliana",21.89071
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather","2019","Seriola rivoliana",21.89071
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather","2019","Echeneis naucrates",25.55157
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather","2019","Parupeneus spilurus",20.24947
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25469/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25469/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25469/?format=feather","2019","Parupeneus spilurus",20.24947
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25469/?format=feather","2019","Rachycentron canadum",26.9
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25471/?format=feather","2019","Gymnocranius euanus",24.99433
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25471/?format=feather","2019","Gymnocranius euanus",24.99433
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25471/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather","2019","Parupeneus chrysopleuron",21.03178
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Acanthurus mata",25.752
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Acanthurus mata",25.752
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Acanthurus mata",25.752
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pterocaesio chrysozona",22.679
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Heniochus diphreutes",22.35717
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Heniochus diphreutes",22.35717
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Heniochus diphreutes",22.35717
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus quinquelineatus",26.022
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus vitta",27.03914
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus vitta",27.03914
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Lutjanus vitta",27.03914
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Parupeneus spilurus",20.24947
