"sample","number","year","size.class","scientific","fb_length_at_maturity"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25515/?format=feather",1,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25567/?format=feather",1,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25466/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25467/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25469/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25471/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25520/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25523/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25524/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25525/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25528/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25529/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25530/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25531/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25532/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25534/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25535/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25536/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25537/?format=feather",0,"2019","0-50","all.indicators",NA
